project-key,project-name,repo,github_org,github_repo,gh_repo_visibility
BBSMIG,bbs-migration-demo,calotracker,alexeymakarevich-ltimindtree,calotracker_bbs-12a,private
BBSMIG,bbs-migration-demo,solid-api,alexeymakarevich-ltimindtree,solid-api_bbs-12a,private
